,question,allennlp_entities,extracted_entities,image_urls
0,How does the nervous system transmit messages?,"['messages', 'the nervous system']","[['Mail', 'Mail', 'Mail', 'Spore', 'Electronic mail'], ['The nervous system', 'The nervous system', 'The nervous system', 'The nervous system', 'The nervous system']]","[['https://upload.wikimedia.org/wikipedia/commons/1/16/Mailboxes.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/USMailbox1909.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/29/JAPANPOST-DSC00250.JPG', 'https://upload.wikimedia.org/wikipedia/commons/b/b8/Galerina_hypnorum_215557.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Evolution_36_mail.png'], ['https://upload.wikimedia.org/wikipedia/commons/0/0f/Central_nervous_system.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/1201_Overview_of_Nervous_System.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/Human-leech-nervous-system-comparison.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6e/Nervous_system_-_Nervous_system_1_--_Smart-Servier.png', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Nervous_system_-_Nervous_system_2_--_Smart-Servier.png']]"
0,How do different animals obtain and transport oxygen?,"['different animals', 'oxygen']","[['Animals', 'Animals', 'Animals', 'Animals', 'Animals'], ['Free oxygen', 'Free oxygen', 'Free oxygen', 'Free oxygen', 'Carnivores']]","[['https://upload.wikimedia.org/wikipedia/commons/c/ce/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_33%29_BHL2458980.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_28%29_BHL2459063.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_23%29_BHL2459045.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_32%29_BHL2458986.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_31%29_BHL2459055.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/c/c3/Liquid_oxygen_in_a_beaker_4.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/Liquid_oxygen_in_a_beaker_%28cropped_and_retouched%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/Electron_shell_008_Oxygen_mk.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/45/Oxygen_discharge_tube.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Timber_wolf_standing_on_large_rock_-_DPLA_-_422ddd1bfbf62584a8f2bc3d260dfead.jpg']]"
0,How does the digestive system help break down food?,"['the digestive system', 'food']","[['Digestive tract', 'Digestive tract', 'Digestive tract', 'Digestive tract', 'Digestive tract'], ['Food', 'Food', 'Food', 'Food', 'Food']]","[['https://upload.wikimedia.org/wikipedia/commons/2/2c/Layers_of_the_GI_Tract_EDITED.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Lungs_gall_bladder_liver_stomach_digestive_tract-extract.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/92/EB1911_Alimentary_Canal_Fig._6.%E2%80%94Intestinal_Tract_of_Macropus_bennetti.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Digestive_tract_diagram.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Layers_of_the_GI_Tract_es.svg'], ['https://upload.wikimedia.org/wikipedia/commons/6/6d/Good_Food_Display_-_NCI_Visuals_Online.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/02/Chow_Mein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Chicken_Chow_mein_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Buff_Chow_Mein_with_Sauce.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Buff_Chow_mein_1.jpg']]"
0,What are the phases of the moon?,"['the moon', 'the phases of the moon', 'the phases']","[['Moon', 'Moon', 'Moon'], ['Moon', 'Moon', 'Moon'], ['Third phase', 'Third phase', 'Third phase']]","[['https://upload.wikimedia.org/wikipedia/commons/b/b2/The_Bangkok_Supermoon_Photographs_by_Peak_Hora_10.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/67/Moon_apollo12.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/The_sun_and_the_moon_in_South_New_Brighton%27s_beach%2C_New_Zealand.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/b/b2/The_Bangkok_Supermoon_Photographs_by_Peak_Hora_10.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/67/Moon_apollo12.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/The_sun_and_the_moon_in_South_New_Brighton%27s_beach%2C_New_Zealand.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/2/29/Third_platform_of_Phase_14_of_South_Pars_Dome_Gas-Condensate_field_09.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Third_platform_of_Phase_14_of_South_Pars_Dome_Gas-Condensate_field_012.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Third_platform_of_Phase_14_of_South_Pars_Dome_Gas-Condensate_field_03.jpg']]"
0,What is the process of photosynthesis?,"['the process of photosynthesis', 'the process', 'photosynthesis']","[['Photosynthesis', 'Photosynthesis', 'Photosynthesis'], ['Systematic process', 'Systematic process', 'Systematic process'], ['Photosynthesis', 'Photosynthesis', 'Photosynthesis']]","[['https://upload.wikimedia.org/wikipedia/commons/5/55/Photosynthesis_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Photosynthesis_ru.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/44/Seawifs_global_biosphere.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/c/ce/Flowchart_of_systematic_search_and_selection_process_for_an_umbrella_review_about_sugar_and_health.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Comparative_zoology%2C_structural_and_systematic_-_for_use_in_schools_and_colleges_%281883%29_%2820677673251%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Comparative_zoology%2C_structural_and_systematic_-_for_use_in_schools_and_colleges_%281883%29_%2820677770481%29.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/5/55/Photosynthesis_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Photosynthesis_ru.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/44/Seawifs_global_biosphere.jpg']]"
0,What is the structure of the Earth's crust?,"[""the structure of the Earth 's crust"", ""the Earth 's"", ""the Earth 's crust"", 'the structure']","[['Surface of the earth', 'Surface of the earth'], ['The earth', 'The earth'], ['The earth', 'The earth'], ['Architectural structure', 'Lobia']]","[['https://upload.wikimedia.org/wikipedia/commons/7/71/Lithosphere_magnetism_lrg.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3c/Age_of_oceanic_lithosphere.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/3/36/3d_earth_globe.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/BlackMarble_2016_rotating_globe_at_night_transparent.gif'], ['https://upload.wikimedia.org/wikipedia/commons/3/36/3d_earth_globe.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/BlackMarble_2016_rotating_globe_at_night_transparent.gif'], ['https://upload.wikimedia.org/wikipedia/commons/5/5c/Architectural_structure_Narayaneshwar_Temple%2C_Pune.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4e/Southern-style_Black_Eeyed_Peas.jpg']]"
0,What are the three states of matter and their properties?,"['the three states of matter', 'their properties', 'the three states', 'the three states of matter and their properties', 'matter']","[['States of matter', 'States of matter'], ['Physical properties', 'Physical properties'], ['United States', 'United States'], ['States of matter', 'States of matter'], ['State of matter', 'State of matter']]","[['https://upload.wikimedia.org/wikipedia/commons/0/05/Phase_change_-_ru.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/States-of-matter-template.svg'], ['https://upload.wikimedia.org/wikipedia/commons/1/1f/Wismut_Kristall_und_1cm3_Wuerfel.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1d/Heat_Flow_and_Physical_Properties_Package_%28HP3%29.png'], ['https://upload.wikimedia.org/wikipedia/commons/1/18/City_Lights_of_the_United_States_2012.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg'], ['https://upload.wikimedia.org/wikipedia/commons/0/05/Phase_change_-_ru.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/States-of-matter-template.svg'], ['https://upload.wikimedia.org/wikipedia/commons/f/fb/Google_Ngram_Viewer_diagram_on_complex_matter_terminology.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0a/Solid_state_of_matter_%2840588300704%29.jpg']]"
0,How do plants reproduce?,['plants'],"[['Plant', 'Plant', 'Plant', 'Phylogeny', 'Plants', 'Plants', 'Plants', 'Plants', 'Plants', 'Plants']]","[['https://upload.wikimedia.org/wikipedia/commons/8/87/Green_plant_with_thorns16.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4e/Green_plant_texture_long_thin_leaves_grass_like.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/D%C3%BClmen%2C_Hausd%C3%BClmen%2C_eisbedeckte_Pflanze_--_2021_--_5015.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Phylogenetic_tree_based_on_the_mitochondrial_sequences_%28COI%2C_658_bp%29_of_specimens_identified_as_Simulium_dentulosum_and_Simulium_vorax_from_Kakoi-Koda_Focus.tif', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Plants_in_an_apartment.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Ranakalli_plant.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/13/Varieties_of_Indoor_plants_in_a_flowerpot.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/My_garden_plants_42.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/My_garden_plants_15.jpg']]"
0,How do plants respond to light?,"['plants', 'light']","[['Plants', 'Plants', 'Plants', 'Plants', 'Plants'], ['light', 'light', 'light', 'light', 'light']]","[['https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Plants_in_an_apartment.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Ranakalli_plant.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/13/Varieties_of_Indoor_plants_in_a_flowerpot.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/My_garden_plants_42.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/1/1a/Ray_of_Light_Capture_d.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/05/Light_spectrum_on_a_wall_caused_by_sunlight_going_through_prism_and_then_handmade_glass.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/General_introduction_to_light_attenuation_and_observation_of_natural_fluorescence_in_near-shore_marine_environments_-_12898_2008_104_MOESM4_ESM.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Leds_sodium_spectrum_fr.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/04/Electromagnetic_spectrum_bands.svg']]"
0,What is the purpose of the skeletal system?,"['the purpose of the skeletal system', 'the skeletal system', 'the purpose']","[['Bones', 'Bones', 'light'], ['Bones', 'Bones', 'light'], ['Purposes', 'Purposes', 'Purposes']]","[['https://upload.wikimedia.org/wikipedia/commons/7/73/Gray252.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Sphenoid_bone_and_zygomatic_bone_-_animation.gif', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Ferry_light_trail%2C_Rostock.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/7/73/Gray252.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Sphenoid_bone_and_zygomatic_bone_-_animation.gif', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Ferry_light_trail%2C_Rostock.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/4/47/Deletion_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/Talk_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Edit_intention_card.svg']]"
0,What is the difference between a mixture and a compound?,"['a mixture and a compound', 'a mixture', 'the difference between a mixture and a compound', 'a compound', 'the difference']","[['Photographic plate', 'Mixtures'], ['Mixture', 'Mixture'], ['Photographic plate', 'Mixtures'], ['Chemical compound', 'Chemical compound'], ['Confusion', 'Confusion']]","[['https://upload.wikimedia.org/wikipedia/commons/b/bf/Glass_plate_negative_of_Environs_of_Gruy%C3%A9res%2C_Switzerland_-_DPLA_-_89a6fb40a6e6646d394cb8bf1954d5a5.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Gummi_Arabicum_Pulver.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/d/d3/Schematische_Einteilung_der_Stoffe.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Fe-S_mixture_03.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/b/bf/Glass_plate_negative_of_Environs_of_Gruy%C3%A9res%2C_Switzerland_-_DPLA_-_89a6fb40a6e6646d394cb8bf1954d5a5.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Gummi_Arabicum_Pulver.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/2/2b/Chemicals-HP.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/1qo1_stereo.png'], ['https://upload.wikimedia.org/wikipedia/commons/b/b5/Noun_confusion_2900892.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Noun_confusion_Delwar_781825.svg']]"
