,question,allennlp_entities,extracted_entities,image_urls
0,How does the nervous system transmit messages?,"['the nervous system', 'messages']","[['The nervous system', 'The nervous system', 'The nervous system', 'The nervous system', 'The nervous system', 'The nervous system', 'The nervous system', 'The nervous system', 'The nervous system', 'The nervous system']]","[['https://upload.wikimedia.org/wikipedia/commons/0/0f/Central_nervous_system.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/1201_Overview_of_Nervous_System.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/Human-leech-nervous-system-comparison.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6e/Nervous_system_-_Nervous_system_1_--_Smart-Servier.png', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Nervous_system_-_Nervous_system_2_--_Smart-Servier.png', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/Insects_nervous_system_ja.png', 'https://upload.wikimedia.org/wikipedia/commons/8/87/Schematic_diagram_of_the_anterior_central_nervous_system_%28CNS%29_and_stomatogastric_system_%28STNS%29_of_an_astacid_decapod.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/44/Nervous_system_Bufo_bufo_%28DFdB%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/202106_Central_nervous_system.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/Central_nervous_system_2.svg']]"
0,How do different animals obtain and transport oxygen?,"['different animals', 'oxygen']","[['Free oxygen', 'Free oxygen', 'Free oxygen', 'Free oxygen', 'Free oxygen', 'Free oxygen', 'Free oxygen', 'Free oxygen', 'Forces', 'Carnivores']]","[['https://upload.wikimedia.org/wikipedia/commons/c/c3/Liquid_oxygen_in_a_beaker_4.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/Liquid_oxygen_in_a_beaker_%28cropped_and_retouched%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/Electron_shell_008_Oxygen_mk.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/45/Oxygen_discharge_tube.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Liquid_oxygen_in_a_beaker_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c5/Oxygen_Generator_Applications.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Operating_Principles_for_a_PSA_Oxygen_Generator.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Oxygen_requirement_of_bacteria.png', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Forces_diagram.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Timber_wolf_standing_on_large_rock_-_DPLA_-_422ddd1bfbf62584a8f2bc3d260dfead.jpg']]"
0,How does the digestive system help break down food?,"['food', 'the digestive system']","[['Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food']]","[['https://upload.wikimedia.org/wikipedia/commons/6/6d/Good_Food_Display_-_NCI_Visuals_Online.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/02/Chow_Mein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Chicken_Chow_mein_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Buff_Chow_Mein_with_Sauce.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Buff_Chow_mein_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f8/Buff_Chow_mein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Kerala_food_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Sweet_olive_pork_belly_crawfish%2C_chow_chow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/21/Vegetarian_Chow_Mein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/Many_trays_with_food_offered_to_the_monks_in_the_Buddhist_temple_of_Don_Det_Laos.jpg']]"
0,What are the phases of the moon?,"['the phases of the moon', 'the phases', 'the moon']","[['Moon', 'Moon', 'Moon', 'Moon', 'Moon', 'Moon', 'Moon', 'Moon', 'Moon', 'Moon']]","[['https://upload.wikimedia.org/wikipedia/commons/b/b2/The_Bangkok_Supermoon_Photographs_by_Peak_Hora_10.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/67/Moon_apollo12.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/The_sun_and_the_moon_in_South_New_Brighton%27s_beach%2C_New_Zealand.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/df/Full_moon_partially_obscured_by_atmosphere.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/81/Earth%2C_Moon_and_Lunar_Module%2C_AS11-44-6643.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/FullMoon2020.tif', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/The_Moon_2020_01_05.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/Night_after_the_full_Moon._The_waning_Moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Asahi_Breweries_headquarters_building_with_the_Asahi_Flame_and_Skytree_at_blue_hour_with_full_moon%2C_Sumida-ku%2C_Tokyo%2C_Japan.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Triton_and_the_Earth%27s_Moon_%284078509700%29.jpg']]"
0,What is the process of photosynthesis?,"['photosynthesis', 'the process of photosynthesis', 'the process']","[['Photosynthesis', 'Photosynthesis', 'Photosynthesis', 'Photosynthesis', 'Photosynthesis', 'Photosynthesis', 'Photosynthesis', 'Photosynthesis', 'Photosynthesis', 'Photosynthesis']]","[['https://upload.wikimedia.org/wikipedia/commons/5/55/Photosynthesis_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Photosynthesis_ru.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/44/Seawifs_global_biosphere.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a8/Photosynthesis-ar.gif', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Natural_Photosynthesis_vs_the_Bionic_Leaf.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0c/Photosynthesis-es.png', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Photosynthesis_ko.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Simple_photosynthesis_overview_cs.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/Simple_photosynthesis_overview-ja.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Photosynthesis_id.svg']]"
0,What is the structure of the Earth's crust?,"['the structure', ""the Earth 's crust"", ""the structure of the Earth 's crust"", ""the Earth 's""]","[['Earth', 'Earth', 'Meteor', 'The earth', 'The earth', 'The earth', 'The earth', 'The earth', 'The earth', 'The earth']]","[['https://upload.wikimedia.org/wikipedia/commons/0/0d/Africa_and_Europe_from_a_Million_Miles_Away.png', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Die_Erdkugel_vom_Weltraum_aus_betrachtet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Gloster_Meteor_NF13_Hatzerim_260404.JPG', 'https://upload.wikimedia.org/wikipedia/commons/3/36/3d_earth_globe.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/BlackMarble_2016_rotating_globe_at_night_transparent.gif', 'https://upload.wikimedia.org/wikipedia/commons/a/af/BlackMarble20161km.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Globe_epc_2015198_lrg.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b2/B12_peso_terra_luna.gif', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/The_Earth_and_Moon_from_Mars.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/The_Earth_seen_from_Apollo_17_with_transparent_background.png']]"
0,What are the three states of matter and their properties?,"['the three states', 'their properties', 'the three states of matter', 'the three states of matter and their properties', 'matter']","[['States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter']]","[['https://upload.wikimedia.org/wikipedia/commons/0/05/Phase_change_-_ru.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/States-of-matter-template.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/Physics_matter_state_transition_1_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/87/Dark_Matter_27x39_ENGLISH.png', 'https://upload.wikimedia.org/wikipedia/commons/d/da/PV_diagram_of_CO2%2C_from_%22On_the_Continuity_of_the_Gaseous_and_Liquid_States_of_Matter%22.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f7/Black_Lives_Matter_Plaza.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/54/Black_lives_matter_in_charlotte.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Black_Lives_Matter_Plaza_3.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Phase%2C_blank_placeholder.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e3/Solid_phase%2C_icon_in_black-and-white.svg']]"
0,How do plants reproduce?,['plants'],"[['Plant', 'Plant', 'Plant', 'Phylogeny', 'Plants', 'Plants', 'Plants', 'Plants', 'Plants', 'Plants']]","[['https://upload.wikimedia.org/wikipedia/commons/8/87/Green_plant_with_thorns16.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4e/Green_plant_texture_long_thin_leaves_grass_like.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/D%C3%BClmen%2C_Hausd%C3%BClmen%2C_eisbedeckte_Pflanze_--_2021_--_5015.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Phylogenetic_tree_based_on_the_mitochondrial_sequences_%28COI%2C_658_bp%29_of_specimens_identified_as_Simulium_dentulosum_and_Simulium_vorax_from_Kakoi-Koda_Focus.tif', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Plants_in_an_apartment.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Ranakalli_plant.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/13/Varieties_of_Indoor_plants_in_a_flowerpot.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/My_garden_plants_42.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/My_garden_plants_15.jpg']]"
0,How do plants respond to light?,"['plants', 'light']","[['Plant', 'Plant', 'Plant', 'Phylogeny', 'Plants', 'Plants', 'Plants', 'Plants', 'Plants', 'Plants']]","[['https://upload.wikimedia.org/wikipedia/commons/8/87/Green_plant_with_thorns16.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4e/Green_plant_texture_long_thin_leaves_grass_like.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/D%C3%BClmen%2C_Hausd%C3%BClmen%2C_eisbedeckte_Pflanze_--_2021_--_5015.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Phylogenetic_tree_based_on_the_mitochondrial_sequences_%28COI%2C_658_bp%29_of_specimens_identified_as_Simulium_dentulosum_and_Simulium_vorax_from_Kakoi-Koda_Focus.tif', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Plants_in_an_apartment.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Ranakalli_plant.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/13/Varieties_of_Indoor_plants_in_a_flowerpot.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/My_garden_plants_42.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/My_garden_plants_15.jpg']]"
0,What is the purpose of the skeletal system?,"['the purpose', 'the purpose of the skeletal system', 'the skeletal system']","[['Purposes', 'Purposes', 'Purposes', 'Purposes', 'Purposes', 'Purposes', 'Purposes', 'Purposes', 'Purposes', 'Purposes']]","[['https://upload.wikimedia.org/wikipedia/commons/4/47/Deletion_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/Talk_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Edit_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/67/Tag_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dc/Add_to_list_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Remove_from_list_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Declaration-of-Intention-PY.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/50/Declaration_of_Intention_for_Albert_Einstein%2C_10-01-1940_%28596270_%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/89/Declaration_of_Intention_by_Hristo_Troiko_1908.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/39/L%C3%A1szl%C3%B3_Josef_Willinger_%281909-1989%29_declaration_of_intention_from_1938.jpg']]"
