,answer,allennlp_entities,extracted_entities,image_urls
0,Different types of teeth have specific functions in the process of chewing and breaking down food,"['Different types', 'Different types of teeth', 'the process', 'specific functions', 'food', 'teeth']","[['Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food']]","[['https://upload.wikimedia.org/wikipedia/commons/6/6d/Good_Food_Display_-_NCI_Visuals_Online.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/02/Chow_Mein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Chicken_Chow_mein_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Buff_Chow_Mein_with_Sauce.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Buff_Chow_mein_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f8/Buff_Chow_mein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Kerala_food_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Sweet_olive_pork_belly_crawfish%2C_chow_chow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/21/Vegetarian_Chow_Mein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/Many_trays_with_food_offered_to_the_monks_in_the_Buddhist_temple_of_Don_Det_Laos.jpg']]"
0,Animals adapt to their habitats in various ways to survive and thrive,"['Animals', 'various ways', 'their habitats']","[['Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals']]","[['https://upload.wikimedia.org/wikipedia/commons/c/ce/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_33%29_BHL2458980.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_28%29_BHL2459063.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_23%29_BHL2459045.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_32%29_BHL2458986.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_31%29_BHL2459055.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_32%29_BHL2458988.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_24%29_BHL2459081.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_21%29_BHL2459035.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_25%29_BHL2459077.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_41%29_BHL2459150.jpg']]"
0,"There are six main types of simple machines:

1","['six main types of simple machines', 'simple machines', 'six main types of simple machines : 1', 'six main types']","[['Short circuits', 'Short circuits', 'Short circuits', 'Short circuits', 'Short circuits', 'Short circuits', 'Leucippus', 'Portable generators', 'Portable generators', 'Portable generators']]","[['https://upload.wikimedia.org/wikipedia/commons/b/be/Crossed_wires.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Short_Circuit_Current.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/%E7%9F%AD%E7%B5%A1%28Short_circuit%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/Short_circuit_by_water_RJ45_PoE.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Court-circuit_A.PNG', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Kurzschluss_12V20A.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Roman_-_Sarcophagus_Depicting_Castor_and_Pollux_Seizing_the_Daughters_of_Leucippus_-_Walters_2332_-_Left_Side.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/Portable_electrical_generator_angle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dc/2023-01-03_Portable_electrical_generators.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/ElectricalGeneratorGasoline.JPG']]"
0,"There are several types of fossils, each formed through different processes","['each formed through different processes', 'several types', 'different processes', 'several types of fossils , each formed through different processes', 'fossils', 'each']","[['Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils']]","[['https://upload.wikimedia.org/wikipedia/commons/1/10/Perisphinctes_wartae_-_Museum_fur_Naturkunde%2C_Berlin_-_DSC00011.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Fossil_Diversity.png', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Cardiidfossils.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Whale_2261-2263mod.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/17/The_fossils_from_Cretaceous_age_found_in_Lebanon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Marine_fossils%2C_Desert_Museum_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Fossils_from_the_middle_Ordovician.png', 'https://upload.wikimedia.org/wikipedia/commons/5/54/Marine_fossils_at_%22El_Madro%C3%B1o%22_-_Landa_de_Matamoros%2C_Mexico.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9e/Desert_Museum%2C_fossils_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Marine_fossils%2C_Desert_Museum_1.jpg']]"
0,There are 88 officially recognized constellations in the night sky,"['the night sky', '88 officially recognized constellations in the night sky', '88 officially recognized constellations']","[['Sky', 'Causes of earthquakes', 'Night sky', 'Night sky', 'Night sky', 'Night sky', 'Night sky', 'Night sky', 'Night sky', 'Night sky']]","[['https://upload.wikimedia.org/wikipedia/commons/4/4b/Cumulus_clouds_seen_from_10%2C000_meters_above_the_ground%2C_2010.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/48/Turkey_Earthquake_NDRF_equipment_being_loaded_into_C-17.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/52/Twilight_in_night_sky_V2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Twilight_in_night_sky.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Night_sky_and_rock_in_Tehran.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/97/Night_Sky%2C_Early_September_2021.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Funny_face_in_the_night_sky._Brisbane%2C_1st_December_2008_%283073572829%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Twilight_with_moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Night_Sky_Map_September_2017_Malayalam.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4b/British_Night_Sky_%286965600385%29.jpg']]"
0,The pancreas plays an important role in digestion by producing enzymes and hormones that help break down food and regulate blood sugar levels,"['an important role in digestion', 'The pancreas', 'enzymes and hormones', 'enzymes and hormones that help break down food and regulate blood sugar levels', 'enzymes', 'digestion', 'an important role', 'blood sugar levels', 'food']","[['Enzymes', 'Enzymes', 'Enzymes', 'Enzymes', 'Enzymes', 'Enzymes', 'Enzymes', 'Enzymes', 'Enzymes', 'Enzymes']]","[['https://upload.wikimedia.org/wikipedia/commons/5/52/Imobilising_Enzymes_%28431507820%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/Imobilising_Enzymes_%28431508100%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/57/Imobilising_Enzymes_%28431507145%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/87/Imobilising_Enzymes_%28431508046%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a5/Imobilising_Enzymes_%28431507668%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2a/Imobilising_Enzymes_%28431507324%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Imobilising_Enzymes_%28431507450%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Imobilising_Enzymes_%28431508200%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/34/Imobilising_Enzymes_%28431507908%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Imobilising_Enzymes_%28431507758%29.jpg']]"
0,"There are several types of clouds, each with its own characteristics","['each with its own characteristics', 'several types of clouds , each with its own characteristics', 'clouds', 'several types', 'its own characteristics', 'each']","[['Sky', 'Electricity generation', 'Thunderstorm', 'Thunderstorm', 'Thunderstorm', 'Thunderstorm', 'Natural diamonds', 'Vaccinations', 'Thunderstorms', 'Thunderstorms']]","[['https://upload.wikimedia.org/wikipedia/commons/4/4b/Cumulus_clouds_seen_from_10%2C000_meters_above_the_ground%2C_2010.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/81/New_Mexico_Electricity_Generation_Sources_Pie_Chart.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/82/Lightning_Pritzerbe_01_%28MK%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e9/Thunderstorm_symbol.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Lightning_storm_over_Berlin_-_Flickr_-_Matt_Biddulph.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/89/Rotating_Thunderstorm_Updraft.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/02/ATHARVA_DIAMOND_MEASUREMENT_SIZE_DIAMOND_PRICE_DIAMOND_EXPORTER.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/USAID_vaccinations_of_asian_girls.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Electrical_storm_005a.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/Electrical_storm_001a.jpg']]"
0,The ozone layer plays a crucial role in protecting life on Earth,"['The ozone layer', 'life on Earth', 'a crucial role in protecting life on Earth', 'life', 'Earth', 'a crucial role']","[['Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth']]","[['https://upload.wikimedia.org/wikipedia/commons/0/0d/Africa_and_Europe_from_a_Million_Miles_Away.png', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Die_Erdkugel_vom_Weltraum_aus_betrachtet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/As08-16-2593.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/North_America_from_low_orbiting_satellite_Suomi_NPP.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/Earth_and_the_Clouds_of_Jupiter_%284078804254%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e3/Mercury_and_Earth_%284077538249%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f5/Radar_Views_Earth_and_Venus_%284078292612%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Mass_versus_weight_in_earth_and_mars.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Rotating_earth_%28large%29_transparent.gif', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Rifts_on_Venus%2C_Earth%2C_and_Mars_%284110039732%29.jpg']]"
0,The human brain controls the body through a complex network of nerves and signals,"['a complex network of nerves and signals', 'nerves and signals', 'a complex network', 'The human brain', 'the body']","[['Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain']]","[['https://upload.wikimedia.org/wikipedia/commons/5/50/Computed_tomography_of_human_brain_-_large.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Human_brain._Wellcome_L0021193.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Skull_and_brain_normal_human_ta.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8c/6_week_embryo_brain_ar.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/Brain_stem_normal_human.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Vertebrate-brain-regions.png', 'https://upload.wikimedia.org/wikipedia/commons/2/24/Vertebrate-brain-regions_small_hy.png', 'https://upload.wikimedia.org/wikipedia/commons/b/be/Vertebrate-brain-regions_small.png', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Skull_brain_human_normal.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c6/L%27anotomia_del_corpo_umano_25.png']]"
0,"The Earth's atmosphere is composed of several gases, with the main ones being:

1","['several gases', ""The Earth 's"", ""The Earth 's atmosphere"", 'the main ones', 'the main ones being : 1']","[['Atmosphere of Earth', 'Atmosphere of Earth', 'Atmosphere of Earth', 'Atmosphere of Earth', 'Atmosphere of Earth', 'Extrusive rocks', 'Atmosphere of the earth', 'Atmosphere of the earth', 'Atmosphere of the earth', 'Atmosphere of the earth']]","[['https://upload.wikimedia.org/wikipedia/commons/9/93/Earth_Atmosphere_%28%E0%A6%AA%E0%A7%83%E0%A6%A5%E0%A6%BF%E0%A6%AC%E0%A7%80%E0%A6%B0_%E0%A6%AC%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%81%E0%A6%AE%E0%A6%A3%E0%A7%8D%E0%A6%A1%E0%A6%B2%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/59/Atmosphere_layers%2C_temperature_and_airborne_emission_sources.png', 'https://upload.wikimedia.org/wikipedia/commons/2/25/Astronomy%3B_a_section_through_the_earth%2C_showing_the_atmosphere_Wellcome_V0024723.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/59/Venus-Mars-Earth-Atmosphere-rus.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Zuurstofcrisis_or_Great_Oxidation_Event.png', 'https://upload.wikimedia.org/wikipedia/commons/2/24/Gabbronorite_%28%22Impala_Black_Granite%22%29_%28Bushveld_Complex%2C_2.054-2.061_Ga%2C_Paleoproterozoic%3B_north_of_Rustenburg%2C_North_West_Province%2C_South_Africa%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Atmosphere_layers-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/Layers_of_the_Atmosphere_of_the_Earth-Persian.png', 'https://upload.wikimedia.org/wikipedia/commons/b/be/Earth_Atmosphere_pl.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Earth_Atmosphere-fr.svg']]"
0,"Herbs and spices are both used to enhance the flavor of food, but there are some differences between them:

1","['some differences between them : 1', 'some differences', 'some differences between them', 'Herbs and spices', 'the flavor', 'food', 'the flavor of food']","[['Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food', 'Food']]","[['https://upload.wikimedia.org/wikipedia/commons/6/6d/Good_Food_Display_-_NCI_Visuals_Online.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/02/Chow_Mein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Chicken_Chow_mein_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Buff_Chow_Mein_with_Sauce.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Buff_Chow_mein_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f8/Buff_Chow_mein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Kerala_food_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Sweet_olive_pork_belly_crawfish%2C_chow_chow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/21/Vegetarian_Chow_Mein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/Many_trays_with_food_offered_to_the_monks_in_the_Buddhist_temple_of_Don_Det_Laos.jpg']]"
0,"Fermentation is a natural process that occurs when microorganisms, such as yeast or bacteria, break down sugars into simpler substances, such as alcohol or acids, without the presence of oxygen","['oxygen', 'simpler substances', 'a natural process', 'the presence', 'a natural process that occurs when microorganisms , such as yeast or bacteria , break down sugars into simpler substances , such as alcohol or acids , without the presence of oxygen', 'microorganisms , such as yeast or bacteria ,', 'microorganisms', 'Fermentation', 'yeast or bacteria', 'sugars', 'simpler substances , such as alcohol or acids ,', 'alcohol or acids', 'bacteria', 'the presence of oxygen']","[['Bacteria', 'Bacteria', 'Bacteria', 'River beds', 'Chloroplasts', 'Bacteriophages', 'Bacteriophages', 'Bacteriophages', 'Snow leopard', 'bacteria']]","[['https://upload.wikimedia.org/wikipedia/commons/5/52/Citrobacter_freundii.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Symbiotic_nitrogen_fixing_bacteria_inside_legume_root_nodule_cells.tif', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Plant_responses_to_bacteria_in_the_rhizosphere.webp', 'https://upload.wikimedia.org/wikipedia/commons/4/4e/Kakadu_%28AU%29%2C_Kakadu_National_Park%2C_Jim_Jim_Creek_--_2019_--_4251.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/18/Chloroplasts_-_diffusion_of_photons.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b1/Bacteriophage_lytic_cycle.png', 'https://upload.wikimedia.org/wikipedia/commons/9/9c/Bacteriophage_vB_KpnP_Klyazma.png', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/11_Hegasy_Phage_T4_Wiki_E_CCBYSA.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Uncia_uncia_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Introducing_plant_beneficial_bacteria_into_plant_seed.jpg']]"
0,A cell is the basic structural and functional unit of all living organisms,"['the basic structural and functional unit of all living organisms', 'the basic structural and functional unit', 'all living organisms', 'A cell']","[['Higher organisms', 'Jersey', 'Living organisms', 'Living organisms', 'Living organisms', 'Living organisms', 'Living organisms', 'Living organisms', 'Living organisms', 'Living organisms']]","[['https://upload.wikimedia.org/wikipedia/commons/a/a2/Relationships_between_degeneracy%2C_complexity%2C_robustness%2C_and_evolvability.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0c/1981_pilot_Jersey.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Tree_of_Living_Organisms_2.png', 'https://upload.wikimedia.org/wikipedia/commons/2/2b/Tree_of_Living_Organisms_2-ta.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Blue_organisms_-_idea_for_nail_polish.png', 'https://upload.wikimedia.org/wikipedia/commons/8/85/Pink_anemonefish_BWP.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1c/Chlorurus_troschelii.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/2014.07.11.-13-Eilenburg_Hainichen--Blutrote_Heidelibelle-Paarung.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/Different_kinds_of_life_on_Earth.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a8/Tree_of_Living_Organisms.PNG']]"
0,The human ear detects sound through a process called hearing,"['sound', 'a process called hearing', 'The human ear', 'a process']","[['sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound']]","[['https://upload.wikimedia.org/wikipedia/commons/0/0a/Sands_of_Sound_from_the_Ness_of_Sound_-_geograph.org.uk_-_3751336.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/QueenCharlotteSound01LB.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Processing_of_sound-ca.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Reid%E2%80%A2Rambles%C2%B7on%C2%B7the%C2%B7Golden%C2%B7Coast%E2%80%A21886%E2%80%A2117%E2%80%A2Illustration--Dusky%C2%B7Sound%C2%B7%28p088%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Processing_of_sound.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Reid%E2%80%A2Rambles%C2%B7on%C2%B7the%C2%B7Golden%C2%B7Coast%E2%80%A21886%E2%80%A2043%E2%80%A2Illustration--George%C2%B7Sound%C2%B7%28p028%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/M%C2%B3_%28the_sound_in_between_invisible_and_visible%29%2C_64m%C2%B3_%282017%29%2C_Sound_Room_%40Asia_Culture_Center%2C_GRAYCODE%28Taebok_Cho%29.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/3D_sound_localization_of_a_large_compressor.png', 'https://upload.wikimedia.org/wikipedia/commons/2/2d/Puget_Sound_Basin.gif', 'https://upload.wikimedia.org/wikipedia/commons/9/90/OpSound_Logo.jpg']]"
0,Diffusion is the process by which molecules move from an area of higher concentration to an area of lower concentration,"['lower concentration', 'an area', 'an area of lower concentration', 'the process', 'an area of higher concentration', 'the process by which molecules move from an area of higher concentration to an area of lower concentration', 'higher concentration', 'molecules', 'Diffusion']","[['Molecule', 'Radio frequency', 'Molecules', 'Molecules', 'Molecules', 'Molecules', 'Molecules', 'Molecules', 'Molecules', 'Molecules']]","[['https://upload.wikimedia.org/wikipedia/commons/b/b6/Water_molecule_%281%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Japanese_BS_and_CS_110%C2%B0_intermediate_frequency_and_radio_systems.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Molecules_logo_2012.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/74/Typical_LC-DAD_chromatograms_of_Bergamot_juice_at_282_nm_%28A%29_and_330_nm_%28B%29_-_Molecules_2008%2C_13%289%29%2C_2220-2228.png', 'https://upload.wikimedia.org/wikipedia/commons/0/03/Common_molecules_and_atoms.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Tp1pic.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Schematic_representation_of_phenylalanine_%28Phe%29_and_valine_%28Val%29_biosynthetic_pathways_and_their_relation_to_capsaicinoids_%28CAP%29_synthesis.png', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/Capsaicin_biosynthetic_pathway.png', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Pseudocyphellaria_crocata.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Usnea_taylorii.png']]"
0,Animals communicate through body language in various ways,"['Animals', 'body language', 'various ways']","[['Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals']]","[['https://upload.wikimedia.org/wikipedia/commons/c/ce/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_33%29_BHL2458980.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_28%29_BHL2459063.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_23%29_BHL2459045.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_32%29_BHL2458986.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_31%29_BHL2459055.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_32%29_BHL2458988.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_24%29_BHL2459081.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_21%29_BHL2459035.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_25%29_BHL2459077.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_41%29_BHL2459150.jpg']]"
0,The excretory system is responsible for removing waste products from the body and maintaining the balance of fluids and chemicals within the body,"['the balance', 'waste products', 'the body', 'The excretory system', 'fluids and chemicals', 'the balance of fluids and chemicals within the body']","[['Waste products', 'Waste products', 'Waste products', 'Waste products', 'Waste products', 'Waste products', 'Waste products', 'Waste products', 'Waste products', 'Waste products']]","[['https://upload.wikimedia.org/wikipedia/commons/d/dd/Piles_of_waste_in_Thilafushi%2C_2012_%283%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/20/Battery_Waste_Treatment_in_the_EU.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Lixo.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/Piles_of_plastic_waste_in_Thilafushi%2C_2012_%282%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/Generation_of_Products_in_US_Solid_Waste%2C_1960-2014.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Don%27t_waste.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Waste_of_new_year_celebration_2023_at_Rheinstra%C3%9Fe_Berlin-Friedenau_05.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/25/Waste_of_new_year_celebration_2023_at_Rheinstra%C3%9Fe_Berlin-Friedenau_06.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Waste_of_new_year_celebration_2023_at_Rheinstra%C3%9Fe_Berlin-Friedenau_07.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Waste_of_new_year_celebration_2023_at_Schmiljanstra%C3%9Fe_Berlin-Friedenau_03.jpg']]"
